timestamp,u10_pred,v10_pred,t2m_pred,t850_pred,z500_pred,u10,v10,t2m,t850,z500
2018010400,5.119798,2.4343395,278.3602,270.96628,51787.562,5.9708743,3.570098,279.5646,271.30035,51677.71
2018010500,-0.39326358,4.075015,277.1228,272.85287,52783.28,0.15469266,5.2567296,279.12408,274.474,52585.5
2018010600,2.5910704,1.2496111,277.75702,271.4495,53120.58,0.6090482,1.9811939,279.1759,274.35312,53367.6
2018010700,-1.0623763,-2.8829217,278.82623,271.79044,54103.438,0.035182085,-2.8481078,279.07623,272.80536,54161.684
2018010800,-1.8703237,-1.3197066,273.176,270.35107,54821.82,-3.278814,-1.2646942,272.78125,269.3192,55019.902
2018010900,-5.7308607,0.823664,273.03238,272.99426,55357.87,-5.2771173,0.6097073,270.23376,274.1217,55582.105
2018011000,-2.5495286,3.0384178,278.3206,276.6901,54551.61,-2.852452,2.6213675,278.50015,276.8266,54681.832
2018011100,1.2244537,-0.38931942,277.32968,273.27982,53707.99,-0.48162043,1.0500325,276.50482,271.1441,53750.78
2018011200,-1.7839453,-1.7857307,274.8946,271.39297,54335.89,-2.0998583,-1.0933957,275.02377,271.32983,54294.188
2018011300,-4.3492312,-0.384524,274.20514,266.49887,54936.684,-4.247819,0.07055606,273.11215,265.64587,54772.28
2018011400,-4.8520327,1.3886755,270.205,266.07315,54332.133,-4.5805106,0.32640582,271.10486,265.33926,54150.17
2018011500,-2.973455,1.6753243,267.75284,265.16876,53836.105,-3.4166281,1.9647229,267.8218,264.83954,53863.55
2018011600,-1.8608749,6.133894,270.70087,270.90784,52746.86,-1.6196626,7.044384,270.9115,271.60107,52830.773
2018011700,4.138288,1.8119562,274.28467,267.99088,50681.836,5.4971385,1.6781272,274.659,267.51938,50662.32
2018011800,5.551643,0.2723819,273.8384,265.5912,51212.023,5.10846,0.43731067,273.50882,265.9112,51145.816
2018011900,11.155065,0.9768272,276.73465,268.31332,50961.996,11.053843,-0.7859368,275.56796,266.6615,50999.688
2018012000,1.6093405,1.3175459,273.2848,266.11642,51657.566,1.4639257,1.2575673,273.1839,266.32834,51853.207
2018012100,-0.54526246,1.1719619,271.19577,265.3419,51290.92,-1.7445565,0.6437474,270.80585,266.21338,51381.926
2018012200,0.5170087,-0.9589801,271.22195,263.03775,52125.54,1.8138441,-0.44004542,272.0776,263.21957,52215.477
2018012300,-3.5034099,2.2842107,270.93884,266.51886,52978.523,-1.76932,2.01743,270.8218,266.00406,52779.09
2018012400,0.20252414,2.917284,273.87173,268.75146,54856.68,-0.47300705,3.605236,274.69885,269.51675,54772.984
2018012500,0.45452094,5.127942,276.92783,279.14484,55280.457,1.7212503,5.2885737,278.6357,280.74466,55211.375
2018012600,-0.07921605,3.2813573,275.4998,276.89673,54471.16,0.51430106,3.3823283,276.01843,276.6217,54639.777
2018012700,1.3891686,0.7765937,275.13873,273.7754,54670.363,2.7451653,0.6525319,277.63306,274.13202,54704.855
2018012800,1.3331625,3.198546,275.92923,271.85504,55343.074,1.9968783,3.2198143,276.3394,270.08572,55122.336
2018012900,7.0355744,1.2555969,281.31384,276.10794,55498.785,7.179977,0.56358844,281.37256,274.99435,55246.85
2018013000,7.682923,-0.41744536,280.43878,271.8125,53770.88,9.531428,-1.5370151,281.58188,271.89734,53497.285
2018013100,3.2430797,1.160824,274.59344,267.85986,53985.48,2.1939092,0.92814696,273.56265,268.45248,54064.656
2018020100,3.4342346,4.1366873,278.5253,271.77707,52938.125,1.3993254,4.6022816,279.10016,273.04858,53031.88
2018020200,1.5195006,1.4976299,274.6567,268.82947,52465.324,0.89974964,1.6023605,274.1766,267.6653,52081.8
2018020300,0.34711063,1.23264,271.9518,266.5255,51700.145,1.4283955,2.1228447,274.51944,267.42358,51938.49
2018020400,1.2724149,-2.4413154,273.2764,265.41507,51605.793,2.427547,-1.1340243,274.61713,266.78677,51839.348
2018020500,0.556142,-1.7495056,271.99875,262.6108,52438.246,-0.25228932,-2.4846475,272.1932,263.36697,52632.254
2018020600,1.8706301,-0.9747044,267.89648,259.40717,52273.477,2.0130284,0.080438666,266.54208,259.72015,52593.96
2018020700,-1.8957477,1.512862,267.70947,263.3203,52947.816,-2.724328,2.195317,268.665,268.89026,53141.36
2018020800,-0.9782968,-1.7856026,271.58627,267.29532,53588.13,-0.8240021,-1.6402334,270.21582,268.6102,53316.62
2018020900,0.22148506,-1.4235941,271.08493,267.8606,53514.54,0.12562253,-1.5249363,268.0949,267.41327,53435.26
2018021000,-1.8569366,0.9931473,271.2878,267.78305,52957.84,-1.5399889,0.36703435,268.74274,267.29092,53221.004
2018021100,-0.32642907,2.3014896,271.7178,265.67148,52973.84,-0.054181684,2.0569606,270.78992,266.57745,52991.0
2018021200,1.7656271,1.7288727,274.4753,268.7183,52661.2,1.8332242,2.0547645,274.72476,267.97046,52487.062
2018021300,1.058925,-0.4539644,273.1543,265.8194,52447.29,2.1809893,-0.27862948,272.259,265.01053,52171.78
2018021400,-2.0339787,-1.1000923,272.49603,265.11862,52048.66,-1.0188798,-1.196614,269.57596,264.25583,52013.2
2018021500,-1.1710341,-1.7261713,272.02884,263.0149,53065.77,0.39263716,-1.8499644,271.62512,263.2343,52709.08
2018021600,-0.41171128,3.8719175,273.25146,268.69922,53920.27,0.06855892,3.5777843,272.9706,267.95865,53890.098
2018021700,2.9855945,0.9656365,273.35016,266.58453,53620.656,2.8754425,0.76673096,273.09222,265.609,53656.81
2018021800,1.575167,-2.0803933,273.9304,265.23315,53170.605,0.33557355,-1.9290253,273.67227,265.06656,53281.38
2018021900,0.3262847,-0.04211971,272.2654,263.22708,53226.465,0.567058,0.85677254,272.91083,264.98843,53447.01
2018022000,-2.549228,1.2579103,270.95245,268.2269,52927.195,-2.6241975,1.3377262,270.65836,268.37875,52967.508
2018022100,-1.4566369,-1.9705876,271.42953,268.93628,53036.992,-1.9738877,-2.0585973,269.57196,268.38318,53054.668
2018022200,-2.267514,-2.1294742,271.84186,262.263,52989.164,-2.176302,-2.0344398,269.18924,261.71896,52939.55
2018022300,-3.180721,-2.3218982,270.55692,261.1679,53202.45,-3.0807064,-1.7928648,267.7959,261.32245,53170.492
2018022400,-0.8123368,-1.7625383,267.2578,263.05478,53744.832,0.43139735,-1.3668146,264.80588,264.0126,53383.812
2018022500,-3.225977,-3.1040745,264.27112,256.66324,52062.69,-2.7781615,-2.4802551,263.60788,255.94214,52046.09
2018022600,-2.079841,-1.8536257,262.80792,254.60094,51779.195,-1.5378356,-2.1618156,263.59592,254.39879,51732.688
2018022700,-1.4870893,-1.5188894,260.95102,254.22394,51233.51,-2.8653722,-1.6940387,260.96072,254.65233,51489.996
2018022800,-3.899929,-2.052966,262.5099,253.15958,51449.387,-3.7277863,-1.4788175,262.12485,254.7334,51458.75
2018030100,-2.7554855,-1.0237685,260.92282,255.65462,51983.836,-2.1655352,-1.0890034,262.82053,256.29297,52151.34
2018030200,-2.8531535,0.34608346,260.47723,260.28494,52143.664,-3.5985856,0.33299425,261.74213,260.01938,52135.836
